shopping_mall,yyear,mmonth,"fashion and beauty sales","monthly avgsales by year",monthly_totalsales
"Cevahir AVM",2021,1,110050.98,102587.81,132985
"Cevahir AVM",2021,2,73258.89,102587.81,92547
"Cevahir AVM",2021,3,98144.49,102587.81,144280
"Cevahir AVM",2021,4,107787.93,102587.81,119053
"Cevahir AVM",2021,5,104084.24,102587.81,132287
"Cevahir AVM",2021,6,88073.3,102587.81,115264
"Cevahir AVM",2021,7,119684.64,102587.81,145143
"Cevahir AVM",2021,8,93079.85,102587.81,119972
"Cevahir AVM",2021,9,111832.06,102587.81,135417
"Cevahir AVM",2021,10,101276.98,102587.81,148657
"Cevahir AVM",2021,11,102651.45,102587.81,148243
"Cevahir AVM",2021,12,121128.88,102587.81,142620
"Cevahir AVM",2022,1,86247.59,90338.33,133421
"Cevahir AVM",2022,2,77469.79,90338.33,133101
"Cevahir AVM",2022,3,82636.94,90338.33,116046
"Cevahir AVM",2022,4,97056.51,90338.33,114895
"Cevahir AVM",2022,5,96425.41,90338.33,154061
"Cevahir AVM",2022,6,83121.04,90338.33,142374
"Cevahir AVM",2022,7,90820.49,90338.33,129512
"Cevahir AVM",2022,8,102117.15,90338.33,137110
"Cevahir AVM",2022,9,100951.8,90338.33,158998
"Cevahir AVM",2022,10,101658.51,90338.33,125121
"Cevahir AVM",2022,11,80308.04,90338.33,123577
"Cevahir AVM",2022,12,85246.64,90338.33,106782
"Cevahir AVM",2023,1,91802.22,70582.02,109020
"Cevahir AVM",2023,2,80516.9,70582.02,127884
"Cevahir AVM",2023,3,39426.93,70582.02,45304
"Emaar Square Mall",2021,1,97122.29,97838.64,118029
"Emaar Square Mall",2021,2,69780.06,97838.64,107323
"Emaar Square Mall",2021,3,93887.29,97838.64,136568
"Emaar Square Mall",2021,4,98459.98,97838.64,129175
"Emaar Square Mall",2021,5,116906.41,97838.64,144482
"Emaar Square Mall",2021,6,88354,97838.64,122799
"Emaar Square Mall",2021,7,120569.49,97838.64,177622
"Emaar Square Mall",2021,8,79843.54,97838.64,115787
"Emaar Square Mall",2021,9,98791.07,97838.64,144152
"Emaar Square Mall",2021,10,108165.27,97838.64,169559
"Emaar Square Mall",2021,11,96659.67,97838.64,114491
"Emaar Square Mall",2021,12,105524.65,97838.64,147964
"Emaar Square Mall",2022,1,93114.76,91455.87,138670
"Emaar Square Mall",2022,2,62516.05,91455.87,73417
"Emaar Square Mall",2022,3,112070.15,91455.87,162930
"Emaar Square Mall",2022,4,101913.88,91455.87,138987
"Emaar Square Mall",2022,5,95190.06,91455.87,122947
"Emaar Square Mall",2022,6,83287.47,91455.87,106460
"Emaar Square Mall",2022,7,97772.95,91455.87,127969
"Emaar Square Mall",2022,8,89014.35,91455.87,129246
"Emaar Square Mall",2022,9,81421.3,91455.87,122924
"Emaar Square Mall",2022,10,99325.25,91455.87,134959
"Emaar Square Mall",2022,11,80795.69,91455.87,93031
"Emaar Square Mall",2022,12,101048.54,91455.87,135154
"Emaar Square Mall",2023,1,99689.83,68031.74,139591
"Emaar Square Mall",2023,2,80216.72,68031.74,106248
"Emaar Square Mall",2023,3,24188.68,68031.74,29922
"Forum Istanbul",2021,1,91649.06,95780.3,135699
"Forum Istanbul",2021,2,96028.47,95780.3,105924
"Forum Istanbul",2021,3,88348.37,95780.3,108245
"Forum Istanbul",2021,4,105927.09,95780.3,158471
"Forum Istanbul",2021,5,120385.54,95780.3,150878
"Forum Istanbul",2021,6,99257.82,95780.3,126940
"Forum Istanbul",2021,7,101532.42,95780.3,139080
"Forum Istanbul",2021,8,82199.56,95780.3,104804
"Forum Istanbul",2021,9,88175.93,95780.3,108370
"Forum Istanbul",2021,10,119434.93,95780.3,157719
"Forum Istanbul",2021,11,72953.02,95780.3,107488
"Forum Istanbul",2021,12,83471.39,95780.3,114271
"Forum Istanbul",2022,1,104965.07,99168.51,138587
"Forum Istanbul",2022,2,71681.01,99168.51,115608
"Forum Istanbul",2022,3,99263.72,99168.51,122301
"Forum Istanbul",2022,4,100880.05,99168.51,142659
"Forum Istanbul",2022,5,113830.07,99168.51,152823
"Forum Istanbul",2022,6,103094.98,99168.51,118322
"Forum Istanbul",2022,7,113648.2,99168.51,139619
"Forum Istanbul",2022,8,110854.48,99168.51,131671
"Forum Istanbul",2022,9,92077.17,99168.51,116009
"Forum Istanbul",2022,10,94084.72,99168.51,153615
"Forum Istanbul",2022,11,101561.64,99168.51,124410
"Forum Istanbul",2022,12,84081.06,99168.51,102242
"Forum Istanbul",2023,1,87122.73,67869.03,108446
"Forum Istanbul",2023,2,90057.71,67869.03,111298
"Forum Istanbul",2023,3,26426.66,67869.03,40575
"Istinye Park",2021,1,218185.61,190868.5,268953
"Istinye Park",2021,2,170278.61,190868.5,218030
"Istinye Park",2021,3,175929.7,190868.5,236070
"Istinye Park",2021,4,173860.12,190868.5,237986
"Istinye Park",2021,5,198933.81,190868.5,247836
"Istinye Park",2021,6,156389.65,190868.5,239101
"Istinye Park",2021,7,231317.2,190868.5,323728
"Istinye Park",2021,8,160126.27,190868.5,237796
"Istinye Park",2021,9,189301.78,190868.5,236270
"Istinye Park",2021,10,193919.39,190868.5,257666
"Istinye Park",2021,11,221398.98,190868.5,279916
"Istinye Park",2021,12,200780.88,190868.5,270725
"Istinye Park",2022,1,217503.67,194479.97,278594
"Istinye Park",2022,2,188914.69,194479.97,256594
"Istinye Park",2022,3,209599.25,194479.97,285957
"Istinye Park",2022,4,163698.27,194479.97,228913
"Istinye Park",2022,5,207732.68,194479.97,280868
"Istinye Park",2022,6,200811.57,194479.97,241241
"Istinye Park",2022,7,186579.83,194479.97,244538
"Istinye Park",2022,8,185989.48,194479.97,259509
"Istinye Park",2022,9,182068.93,194479.97,247368
"Istinye Park",2022,10,199737.03,194479.97,281064
"Istinye Park",2022,11,164296.43,194479.97,225031
"Istinye Park",2022,12,226827.83,194479.97,284209
"Istinye Park",2023,1,189209,137128.2,241135
"Istinye Park",2023,2,176524.22,137128.2,235969
"Istinye Park",2023,3,45651.38,137128.2,72010
Kanyon,2021,1,429997.43,390673.14,569082
Kanyon,2021,2,365591.67,390673.14,488176
Kanyon,2021,3,442062.52,390673.14,556724
Kanyon,2021,4,378429.33,390673.14,501518
Kanyon,2021,5,385378.1,390673.14,525948
Kanyon,2021,6,348175.75,390673.14,489140
Kanyon,2021,7,403849.05,390673.14,535771
Kanyon,2021,8,418019.66,390673.14,552884
Kanyon,2021,9,356974.8,390673.14,520820
Kanyon,2021,10,410345.1,390673.14,534455
Kanyon,2021,11,351712.46,390673.14,452830
Kanyon,2021,12,397541.76,390673.14,532733
Kanyon,2022,1,358322.2,386703.64,499161
Kanyon,2022,2,355803.07,386703.64,469178
Kanyon,2022,3,405226.5,386703.64,528260
Kanyon,2022,4,396972.86,386703.64,521888
Kanyon,2022,5,383285.31,386703.64,513443
Kanyon,2022,6,390903.41,386703.64,538433
Kanyon,2022,7,425958.79,386703.64,553783
Kanyon,2022,8,395188.07,386703.64,527384
Kanyon,2022,9,335603.16,386703.64,482692
Kanyon,2022,10,438881.8,386703.64,588465
Kanyon,2022,11,372910.15,386703.64,473293
Kanyon,2022,12,381388.31,386703.64,543335
Kanyon,2023,1,361185.57,279764.38,537579
Kanyon,2023,2,368102.9,279764.38,530553
Kanyon,2023,3,110004.66,279764.38,143226
"Mall of Istanbul",2021,1,420826.73,390975.61,595825
"Mall of Istanbul",2021,2,387360.74,390975.61,525578
"Mall of Istanbul",2021,3,369436.48,390975.61,491727
"Mall of Istanbul",2021,4,411358.82,390975.61,533020
"Mall of Istanbul",2021,5,386750.63,390975.61,546758
"Mall of Istanbul",2021,6,385050.83,390975.61,538460
"Mall of Istanbul",2021,7,410023.44,390975.61,537366
"Mall of Istanbul",2021,8,379705.47,390975.61,538969
"Mall of Istanbul",2021,9,359260.75,390975.61,502781
"Mall of Istanbul",2021,10,409311.19,390975.61,508604
"Mall of Istanbul",2021,11,413521.68,390975.61,521009
"Mall of Istanbul",2021,12,359100.6,390975.61,487399
"Mall of Istanbul",2022,1,401495.19,393499.86,552967
"Mall of Istanbul",2022,2,373481.04,393499.86,500825
"Mall of Istanbul",2022,3,421019.99,393499.86,534139
"Mall of Istanbul",2022,4,368163.43,393499.86,472302
"Mall of Istanbul",2022,5,432301.45,393499.86,557067
"Mall of Istanbul",2022,6,375732.97,393499.86,518876
"Mall of Istanbul",2022,7,421548.69,393499.86,572754
"Mall of Istanbul",2022,8,393263.66,393499.86,544341
"Mall of Istanbul",2022,9,373603.08,393499.86,484743
"Mall of Istanbul",2022,10,394707.56,393499.86,575923
"Mall of Istanbul",2022,11,375359.51,393499.86,495004
"Mall of Istanbul",2022,12,391321.77,393499.86,551332
"Mall of Istanbul",2023,1,404808.19,291295.25,527835
"Mall of Istanbul",2023,2,369967,291295.25,510810
"Mall of Istanbul",2023,3,99110.57,291295.25,125326
Metrocity,2021,1,255968.39,287454.98,337680
Metrocity,2021,2,261137.69,287454.98,357549
Metrocity,2021,3,328292.39,287454.98,406619
Metrocity,2021,4,254338.59,287454.98,340864
Metrocity,2021,5,276236.79,287454.98,365507
Metrocity,2021,6,303495.96,287454.98,382749
Metrocity,2021,7,296076.69,287454.98,412367
Metrocity,2021,8,310022.38,287454.98,419246
Metrocity,2021,9,268907.17,287454.98,375298
Metrocity,2021,10,287647.96,287454.98,435252
Metrocity,2021,11,298330.19,287454.98,383403
Metrocity,2021,12,309005.54,287454.98,380447
Metrocity,2022,1,278910.69,289206.8,403915
Metrocity,2022,2,242708.8,289206.8,311223
Metrocity,2022,3,269511.32,289206.8,373363
Metrocity,2022,4,300409.77,289206.8,413503
Metrocity,2022,5,301519.14,289206.8,397925
Metrocity,2022,6,327471.87,289206.8,427443
Metrocity,2022,7,309321.08,289206.8,408848
Metrocity,2022,8,274144.43,289206.8,383879
Metrocity,2022,9,308593.64,289206.8,430655
Metrocity,2022,10,313979.63,289206.8,418119
Metrocity,2022,11,266582.14,289206.8,370536
Metrocity,2022,12,277329.05,289206.8,398196
Metrocity,2023,1,292404.51,227526.12,424477
Metrocity,2023,2,307968.53,227526.12,397030
Metrocity,2023,3,82205.31,227526.12,93885
"Metropol AVM",2021,1,180135.31,201588.39,246923
"Metropol AVM",2021,2,192031.8,201588.39,264154
"Metropol AVM",2021,3,196834.76,201588.39,291213
"Metropol AVM",2021,4,189301.61,201588.39,258205
"Metropol AVM",2021,5,245568.68,201588.39,282146
"Metropol AVM",2021,6,207860.34,201588.39,279778
"Metropol AVM",2021,7,193919.16,201588.39,238542
"Metropol AVM",2021,8,209152.03,201588.39,280338
"Metropol AVM",2021,9,209380.56,201588.39,270689
"Metropol AVM",2021,10,189239.95,201588.39,275781
"Metropol AVM",2021,11,196195.97,201588.39,275760
"Metropol AVM",2021,12,209440.53,201588.39,279141
"Metropol AVM",2022,1,195849.91,200761.26,266237
"Metropol AVM",2022,2,157659.79,200761.26,213702
"Metropol AVM",2022,3,259134.02,200761.26,312840
"Metropol AVM",2022,4,206588.66,200761.26,244738
"Metropol AVM",2022,5,194676.36,200761.26,258051
"Metropol AVM",2022,6,181672.21,200761.26,246683
"Metropol AVM",2022,7,201890.11,200761.26,250957
"Metropol AVM",2022,8,206207.13,200761.26,259923
"Metropol AVM",2022,9,206633.13,200761.26,270778
"Metropol AVM",2022,10,179108.76,200761.26,232794
"Metropol AVM",2022,11,209738.49,200761.26,282179
"Metropol AVM",2022,12,209976.56,200761.26,263771
"Metropol AVM",2023,1,235747.14,155591.39,290247
"Metropol AVM",2023,2,171306.62,155591.39,225622
"Metropol AVM",2023,3,59720.4,155591.39,76800
"Viaport Outlet",2021,1,97087.2,96914.98,120760
"Viaport Outlet",2021,2,89147.95,96914.98,105139
"Viaport Outlet",2021,3,97844.5,96914.98,119566
"Viaport Outlet",2021,4,111022.86,96914.98,143288
"Viaport Outlet",2021,5,106943.72,96914.98,144495
"Viaport Outlet",2021,6,91654.88,96914.98,116512
"Viaport Outlet",2021,7,105732.05,96914.98,145857
"Viaport Outlet",2021,8,95174.75,96914.98,142300
"Viaport Outlet",2021,9,77783.4,96914.98,105070
"Viaport Outlet",2021,10,100479.36,96914.98,155493
"Viaport Outlet",2021,11,104349.41,96914.98,130637
"Viaport Outlet",2021,12,85759.72,96914.98,129714
"Viaport Outlet",2022,1,84900.15,95293.07,101870
"Viaport Outlet",2022,2,100012.56,95293.07,127278
"Viaport Outlet",2022,3,104674.8,95293.07,124558
"Viaport Outlet",2022,4,97850.23,95293.07,130158
"Viaport Outlet",2022,5,82352.46,95293.07,120970
"Viaport Outlet",2022,6,102401.82,95293.07,133567
"Viaport Outlet",2022,7,103551.6,95293.07,172450
"Viaport Outlet",2022,8,100111.59,95293.07,126325
"Viaport Outlet",2022,9,102152.11,95293.07,125825
"Viaport Outlet",2022,10,83578,95293.07,141081
"Viaport Outlet",2022,11,84849.83,95293.07,126901
"Viaport Outlet",2022,12,97081.67,95293.07,149107
"Viaport Outlet",2023,1,98845.43,66575.22,117636
"Viaport Outlet",2023,2,80739.8,66575.22,126545
"Viaport Outlet",2023,3,20140.44,66575.22,30918
"Zorlu Center",2021,1,97753.53,98263.13,130487
"Zorlu Center",2021,2,79345.84,98263.13,94216
"Zorlu Center",2021,3,97747.72,98263.13,127422
"Zorlu Center",2021,4,108753.89,98263.13,137247
"Zorlu Center",2021,5,88617.47,98263.13,122034
"Zorlu Center",2021,6,103865.69,98263.13,136498
"Zorlu Center",2021,7,106531.27,98263.13,146992
"Zorlu Center",2021,8,81035.85,98263.13,120207
"Zorlu Center",2021,9,99801.88,98263.13,131440
"Zorlu Center",2021,10,100276.07,98263.13,139232
"Zorlu Center",2021,11,107803.37,98263.13,133376
"Zorlu Center",2021,12,107625.03,98263.13,134716
"Zorlu Center",2022,1,109298.16,101111.81,142728
"Zorlu Center",2022,2,91436.19,101111.81,117275
"Zorlu Center",2022,3,104455.97,101111.81,144797
"Zorlu Center",2022,4,109263.03,101111.81,135610
"Zorlu Center",2022,5,84956.48,101111.81,126401
"Zorlu Center",2022,6,106506.27,101111.81,139708
"Zorlu Center",2022,7,110569.87,101111.81,149123
"Zorlu Center",2022,8,107590.27,101111.81,138849
"Zorlu Center",2022,9,119917.13,101111.81,144917
"Zorlu Center",2022,10,74132.09,101111.81,104699
"Zorlu Center",2022,11,98500.7,101111.81,134025
"Zorlu Center",2022,12,96715.57,101111.81,141309
"Zorlu Center",2023,1,95377.79,75654.38,124087
"Zorlu Center",2023,2,111907.64,75654.38,186500
"Zorlu Center",2023,3,19677.7,75654.38,25755
